00:000 00:000 OCUI: Failed to load images
00:002 00:002 OC: External interface failure, fallback to builtin - Unsupported
03:055 03:052 AAPL: #[EB|LOG:INIT] 2021-05-12T17:44:46
03:062 00:006 AAPL: #[EB|VERSION] <"boot.efi 495.80.3~11 (Official), built 2020-12-21T21:10:06-0800">
03:064 00:002 AAPL: #[EB|BUILD] <"BUILD-INFO[298]:{"DisplayName":"boot.efi","DisplayVersion":"495.80.3~11","RecordUuid":"0B2238C1-809C-49D2-B102-CD53614FF265","BuildTime":"2020-12-21T21:10:06-0800","ProjectName":"efiboot","ProductName":"boot.efi","SourceVersion":"495.80.3","BuildVersion":"11","BuildConfiguration":"Release","BuildType":"Official"}">
03:066 00:002 AAPL: #[EB|CFG:DEV] r2 0x0 0x0
03:068 00:002 AAPL: #[EB|H:IS] 0
03:070 00:002 AAPL: #[EB|WL:MODE] 0
03:073 00:002 AAPL: #[EB|CFG:ARG] boot-save-log 0x0000000000000002 (0x0000000000000002 < 0xFFFFFFFFFFFFFFFF) default
03:085 00:012 AAPL: #[EB|CFG:ARG] wake-save-log 0x0000000000000002 (0x0000000000000002 < 0x0000000000000002) default
03:087 00:002 AAPL: #[EB|CFG:ARG] console       0x0000000000000001 (0x0000000000000001 < 0x0000000000000001) default
03:089 00:002 AAPL: #[EB|CFG:ARG] serial        0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
03:091 00:002 AAPL: #[EB|CFG:ARG] embed-log-dt  0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
03:094 00:002 AAPL: #[EB|CFG:ARG] timestamps    0x0000000000000000 (0x0000000000000000 < 0xFFFFFFFFFFFFFFFF) default
03:096 00:002 AAPL: #[EB|CFG:ARG] log-level     0x0000000000000001 (0x0000000000000001 & 0x0000000000000021) default
03:098 00:002 AAPL: #[EB|CFG:ARG] breakpoint    0x0000000000000000 (0x0000000000000000 & 0x0000000000000000) default
03:100 00:002 AAPL: #[EB|CFG:ARG] kc-read-size  0x0000000000100000 (0x0000000000100000 < 0xFFFFFFFFFFFFFFFF) default
03:102 00:002 AAPL: #[EB|H:IS] 0
03:104 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   0 0x00
03:107 00:002 AAPL: #[EB|BRD:NV] Mac-937A206F2EE63C01
03:109 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   2 0x00
03:112 00:002 AAPL: #[EB|B:RRVAR] <000000000000>
03:114 00:002 AAPL: #[EB.BST.IDT|+]
03:118 00:003 AAPL: #[EB.BST.IDT|-]
03:121 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   3 0x00
03:123 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   4 0x00
03:125 00:002 AAPL: #[EB|BRD:NV] Mac-937A206F2EE63C01
03:128 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   5 0x00
03:130 00:002 AAPL: #[EB.H.CHK|BM] 0x0000000000000000
03:132 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:135 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01  23 0x0E
03:137 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:139 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01  24 0x0E
03:142 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:145 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:147 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:150 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:152 00:002 AAPL: #[EB|H:NOT]
03:155 00:002 AAPL: #[EB|SB:P] 0x1
03:158 00:002 AAPL: #[EB.B.MN|BM:+SB]
03:160 00:002 AAPL: #[EB|LIMG:DP] Acpi(PNP0A03,0)/Pci(1D|0)/Pci(0|0)/?[ 0x83 0x17 0x10 0x0 0x1 0x0 0x0 0x0 0x64 0x79 0xA7 0x25 0x40 0x10 0x46 0x32 ]/HD(Part3,SigAA6AC567-E337-4BB9-B8CF-41EB3F92DCE9)/VenMedia(BE74FCF7-0B7C-49F3-9147-01F4042E6842)
03:163 00:002 AAPL: #[EB|LIMG:FP] \4EC3310F-2622-4C20-9869-951BDE4F485A\System\Library\CoreServices\boot.efi
03:165 00:002 AAPL: #[EB|LIMG:OPT] 
03:168 00:002 AAPL: #[EB.OPT.LXF|F] <"\\4EC3310F-2622-4C20-9869-951BDE4F485A\\System\\Library\\CoreServices\\com.apple.Boot.plist">
03:170 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"\\4EC3310F-2622-4C20-9869-951BDE4F485A\\System\\Library\\CoreServices\\com.apple.Boot.plist"> <"0">
03:172 00:002 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"\\4EC3310F-2622-4C20-9869-951BDE4F485A\\System\\Library\\CoreServices\\com.apple.Boot.plist">
03:175 00:002 AAPL: #[EB.OPT.LXF|LF!] Err(0xE)
03:177 00:002 AAPL: #[EB.OPT.LXF|F] <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist">
03:179 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist"> <"0">
03:182 00:002 AAPL: #[EB|KF] <"">
03:184 00:002 AAPL: #[EB|MBA:CL] <"">
03:186 00:002 AAPL: #[EB|MBA:NV] <"keepsyms=1 debug=0x100 -wegnoegpu alcid=3">
03:189 00:002 AAPL: #[EB|MBA:KF] <"">
03:191 00:002 AAPL: #[EB|MBA:OUT] <"keepsyms=1 debug=0x100 -wegnoegpu alcid=3 chunklist-security-epoch=0 -chunklist-no-rev2-dev">
03:193 00:002 AAPL: #[EB|OPT:BM] 0x280180
03:195 00:002 AAPL: #[EB.OPT.LXF|F] <"\\4EC3310F-2622-4C20-9869-951BDE4F485A\\System\\Library\\CoreServices\\PlatformSupport.plist">
03:198 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"\\4EC3310F-2622-4C20-9869-951BDE4F485A\\System\\Library\\CoreServices\\PlatformSupport.plist"> <"0">
03:200 00:002 AAPL: #[EB|B:VAw]
03:205 00:004 AAPL: #[EB|P:CPR] N
03:207 00:002 AAPL: #[EB|P:MPI] N
03:209 00:002 AAPL: #[EB|P:BPI] N
03:212 00:002 AAPL: #[EB|KMR] 209690624
03:214 00:002 AAPL: #[EB.CS.CSKSD|+]
03:216 00:002 AAPL: #[EB.CS.CSKSD|!] Err(0xE) <- RT.GV boot-info-payload 8D63D4FE-BD3C-4AAD-881D-86FD974BC1DF
03:219 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   6 0x0E
03:221 00:002 AAPL: #[EB.CS.LFC|+]
03:223 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"System\\Library\\Caches\\com.apple.corestorage\\EncryptedRoot.plist.wipekey"> <"0">
03:228 00:004 AAPL: #[EB.FS.AGSVH|PU] 4EC3310F-2622-4C20-9869-951BDE4F485A
03:230 00:002 AAPL: #[EB.FS.AGSVH|!] Err(0xE) <- BS.LocHB 59D76AE4-37E3-55A7-B460-EF13D46E6020
03:232 00:002 AAPL: #[EB.G.CS|-?] Ok(0)
03:307 00:074 AAPL: #[EB.LD.LF|IN] 0 1 <"<null string>"> <"1">
03:310 00:003 AAPL: #[EB.B.SBS|SZ] 739896
03:319 00:009 AAPL: #[EB|B:SHA] <4864e70b6b49cebb543fd0a4dd82eddb4c02bb99>
03:322 00:002 AAPL: #[EB.WL.PWLFNV|!] Err(0xE) <- RT.GV wake-failure 7C436110-AB2A-4BBB-A880-FE41995C9F82
03:324 00:002 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFNV
03:327 00:002 AAPL: #[EB.WL.PWLFRTC|NONE]
03:329 00:002 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFRTC
03:331 00:002 AAPL: #[EB.LD.LKC|D] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc.development">
03:334 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development"> <"0">
03:336 00:002 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development">
03:338 00:002 AAPL: #[EB.LD.LKC|R.2] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc">
03:341 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc"> <"0">
04:516 01:175 OC: Prelinked injection CPUSensors.kext () - Invalid Parameter
04:533 00:017 OC: Prelinked injection GPUSensors.kext () - Invalid Parameter
05:108 00:574 AAPL: #[EB|SB:P] 0x1
05:111 00:002 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
05:113 00:002 AAPL: #[EB|SB:MF] boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m
05:115 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m"> <"0">
05:404 00:289 AAPL: #[EB|SB:MKRN]
05:424 00:019 AAPL: #[EB.LD.LKFS|-?] Ok(0)
05:426 00:002 AAPL: #[EB.LD.LKC|-?] Ok(0)
05:431 00:004 AAPL: #[EB|FWFM] 0x00000000FF9FFF3F
05:433 00:002 AAPL: #[EB|FWFT] 0x00000000FD8FF426
05:435 00:002 AAPL: #[EB|BST:REV1]
05:438 00:002 AAPL: #[EB|CSR:IN] 0x00000040
05:440 00:002 AAPL: #[EB|CSR:OUT] 0x00000040
05:442 00:002 AAPL: #[EB.BST.FBS|+]
05:445 00:002 AAPL: #[EB.BST.FBS|ADSZ] 0
05:447 00:002 AAPL: #[EB.BST.FBS|KSSZ] 0
05:450 00:002 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
05:452 00:002 AAPL: #[EB|RH:PF] usr\standalone\OS.dmg.root_hash
05:454 00:002 AAPL: #[EB|RH:MF] <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m">
05:457 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash"> <"0">
05:460 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m"> <"0">
05:462 00:002 AAPL: #[EB.BST.FBS|RHPSZ] 229
05:465 00:002 AAPL: #[EB.BST.FBS|RHMSZ] 3626
05:467 00:002 AAPL: #[EB.B.WFDW|!WF] Err(0xE) 0
05:470 00:002 AAPL: #[EB|LOG:DT] 2021-05-12T17:44:48
05:473 00:002 AAPL: #[EB|LOG:EXITBS:START] 2021-05-12T17:44:48
